9999,,Administrator,Surabaya,,
80,BSBM-01,BS. Bina Makmur,Jl Perum Graha Sunan Ampel Blok B/36,081357976868,Bu Doni
76,BSBM-02,BS. Pin-pin,Jl sambi arum RT  01 man tngh,317400281/083857007918,Okky
50,BSBM-03,BS. Petemon Karya,Jl Petemon IV/67,0315354170/031547684,Bu Lasiman
70,BSBM-04,BS. Mulya Jaya,Jl Wonorejo 4/102,03172040122/081331558188,Bu indah/bu nora
71,BSBM-05,BS. Bina Sejahtera,Jl Petemon II,081944884410/082140443165,BapakWinarno/bu elly
77,BSBM-06,BS. Rizqi Lancar,Jl Sambi Arum RT 01,03171781139,Bu Diah
1,BSBM-07,BS. Bagus Karya,Jl Asem Bagus gg III-22,03160323166,Bu Edi
14,BSBM-09,BS. Jaya Mandiri,Jl Kanginan 2/19,031778953/08155089358,Bu Ifa
79,BSBM-10,BS. Mandiri Sejahtera 2,Jl Pucang Sawit,081217820080/085100638818,Bu Endro
28,BSBM-11,BS. Gotong Royong,Jl Bratang Binangun V/35,03181500048,Bu Slamet
52,BSBM-12,BS. Juwingan Gemilang ,Jl Juwingan 136,085335703188/3171459915,Bu Ninik
15,BSBM-13,BS. Sekar jaya,Jl Pucangan 1,0315021296/081331030320,Bu Mila
69,BSBM-15,BS. Legundi Berseri,Jl Legundi25A sby,03171218802,Bu Iin Aryati
17,BSBM-16,BS. Pilah Jaya,Jl Gubeng Kertajaya IVB,088217219407/03192139108,Bu Yayuk
18,BSBM-17,BS. Gubeng Jaya Mandiri,Jl Gubeng Jaya VI,0315047077,Pak Suyadi
48,BSBM-18,BS. Sartika Sari,Jl Manyar Adi 1/42,03172152257,Bu Ana
35,BSBM-19,BS. Guyub Sayekti,Jl Ngagel Mulyo IA/8B,03191166784,Bu Fitri
36,BSBM-20,BS. Perintis Jaya,Bratang Perintis V-51,03172506090/085101506090,Bu Sugeng
6,BSBM-22,BS. Karya Mandiri,Jl Bagong Ginayan gg II-02,(031)5025187/081216643598/085336053560/0315022717,Bu Said
87,BSBM-23,BS. Mesem,Jl Semolowari Bahari Blok M 12/64,087752630616/ 03172984522,Bu Hari Mulyo
277,BSBM-24a,BS. Dian Sati 1,Jambangan IIID,0318291027,Bu Yus
20,BSBM-24b,BS. Dian Sati 2,Jambangan III RT 2,08123282579,Bu Yus
25,BSBM-24c,BS. Dian Sati 3,Jambangan RT3,0318283359,Bu Sofie
54,BSBM-24d,BS. Dian Sati 4,Jambangan,08123214987,Bu Hari eko
19,BSBM-24e,BS. Dian Sati 5,Jambangan RT 5,085733532449,Bu Fia
9,BSBM-24f,BS. Dian Sati 6,Jambangan VI RT 6,081553306750,Bu Mila
33,BSBM-24g,BS. Dian Sati 7,Jambangan RT 7,081605100237,Bu Mimtahatun
53,BSBM-25,BS. Bintang 5,Jl Jambangan Sawah D-48 RT02 RW05,085329069009/ 03170899375,Bu Pardiono
338,BSBM-26,BS. Samberia 2,Jl Semolowaru Bahari RT 2,081803084032,Pak Prijanto
67,BSBM-27,BS. Mekar Sari,Jl Kendalsari 1/23,087852773006/081332605911,Bu Heru
337,BSBM-28,BS. Samberia 1,Jl Semolowaru Bahari  RT1/05,081703243065/03183463397,Bu wayan
4,BSBM-29,BS. Manyar Sumber Rejeki,Jl Manyar Sabrangan 8b/61,081235108217/03175156217,Bu Naslipan
5,BSBM-30,BS. Menur Nadif,Jl Menur II/27,03171023171,Bu Nirmala
7,BSBM-31,BS. Tegal Mulyo Rejo Baru 2,Jl Tegal Mulyo Rejo- Surabaya,081615393773,Bu Pangat
95,BSBM-32,BS. Pamevi,Jl Panjang Jiwo 5 /23 - Surabaya,081330180980/81330666121,Bu Sunarto
106,BSBM-33,BS. Untung Sari,Jl. Sariboto kalisari 01, 081703075473,Bu Ida
37,BSBM-34,BS. Sri Rejeki,Jl Bulak Rukem Timur I K-6,03151503641/085720113458,BuTrubus
86,BSBM-35a,BS. Dolphin,Jl Hang Tuah Flat A2 Rumah Dinas Armatim,083831911057,Bu  Sumarna
85,BSBM-35b,BS. Dolphin Flat A3,Jl Hang Tuah Flat A3 Rumah Dinas Armatim,083831911057,Bu  Sumarna
83,BSBM-35c,BS. Dolphin Flat A4,Jl Hang Tuah Flat A4 Rumah Dinas Armatim,081234847117,Bu  Agustin
84,BSBM-35d,BS. Dolphin Flat A5,Jl Hang Tuah Flat A5 Rumah Dinas Armatim,085733006928,Bu Edi
88,BSBM-35e,BS. Dolphin Flat A6,Jl Hang Tuah Flat A6 Rumah Dinas Armatim,085733006928,Bu Edi
?,BSBM-36,BS. Sejahterah,,,
82,BSBM-37,BS. Anyelir,Jl Rungkut Asri Timur 1 No. 2,031 81077936,Pak Hartanto
97,BSBM-38,BS. Barokah,Jl Krukah Utara 8A/16,031 31419673/082143898978,Pak Jalil
56,BSBM-39 a,BS. Bersinar,Jl Kedung Tarukan Baru 3C / 17,031 5992937,Bu Tikno
62,BSBM-39 b,BS. Rukun jaya,Jl Jambangan 7B ,0318293986/081331089875,Bu Mustakim
103,BSBM-40,BS. Bina Warga,Jl Doho No. 43,031 71546858/085645675934,Bapak Dadang
